"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","players_info","match_info"
"2022-8888","Atp Cup","Hard",16,"A",20220103,279,"[{""id"": 126128, ""name"": ""Roman Safiullin"", ""hand"": ""R"",""height"":185,""ioc"":""RUS"",""age"":24.4, ""rank"": 167, ""rank_points"": 409}, {""id"":126239, ""name"": ""Arthur Rinderknech"", ""hand"":""R"", ""height"":196, ""ioc"": ""FRA"", ""age"": 26.4, ""rank"": 58, ""rank_points"": 1029}]","{""score"": ""2-6 7-5 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 145, ""winner_id"": 126128, ""loser_id"": 126239}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,278,"[{""id"": 106421, ""name"": ""Daniil Medvedev"", ""hand"": ""R"",""height"":198,""ioc"":""RUS"",""age"":25.8, ""rank"": 2, ""rank_points"": 8640}, {""id"":200282, ""name"": ""Alex De Minaur"", ""hand"":""R"", ""height"":183, ""ioc"": ""AUS"", ""age"": 22.8, ""rank"": 34, ""rank_points"": 1561}]","{""score"": ""6-4 6-2"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 80, ""winner_id"": 106421, ""loser_id"": 200282}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,277,"[{""id"": 126128, ""name"": ""Roman Safiullin"", ""hand"": ""R"",""height"":185,""ioc"":""RUS"",""age"":24.4, ""rank"": 167, ""rank_points"": 409}, {""id"":105902, ""name"": ""James Duckworth"", ""hand"":""R"", ""height"":183, ""ioc"": ""AUS"", ""age"": 29.9, ""rank"": 49, ""rank_points"": 1176}]","{""score"": ""7-6(6) 6-4"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 118, ""winner_id"": 126128, ""loser_id"": 105902}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,276,"[{""id"": 126610, ""name"": ""Matteo Berrettini"", ""hand"": ""R"",""height"":196,""ioc"":""ITA"",""age"":25.7, ""rank"": 7, ""rank_points"": 4568}, {""id"":200005, ""name"": ""Ugo Humbert"", ""hand"":""L"", ""height"":188, ""ioc"": ""FRA"", ""age"": 23.5, ""rank"": 35, ""rank_points"": 1558}]","{""score"": ""6-4 7-6(6)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 95, ""winner_id"": 126610, ""loser_id"": 200005}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,275,"[{""id"": 206173, ""name"": ""Jannik Sinner"", ""hand"": ""R"",""height"":188,""ioc"":""ITA"",""age"":20.3, ""rank"": 10, ""rank_points"": 3350}, {""id"":126239, ""name"": ""Arthur Rinderknech"", ""hand"":""R"", ""height"":196, ""ioc"": ""FRA"", ""age"": 26.4, ""rank"": 58, ""rank_points"": 1029}]","{""score"": ""6-3 7-6(3)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 96, ""winner_id"": 206173, ""loser_id"": 126239}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,274,"[{""id"": 200282, ""name"": ""Alex De Minaur"", ""hand"": ""R"",""height"":183,""ioc"":""AUS"",""age"":22.8, ""rank"": 34, ""rank_points"": 1561}, {""id"":126610, ""name"": ""Matteo Berrettini"", ""hand"":""R"", ""height"":196, ""ioc"": ""ITA"", ""age"": 25.7, ""rank"": 7, ""rank_points"": 4568}]","{""score"": ""6-3 7-6(4)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 84, ""winner_id"": 200282, ""loser_id"": 126610}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,273,"[{""id"": 206173, ""name"": ""Jannik Sinner"", ""hand"": ""R"",""height"":188,""ioc"":""ITA"",""age"":20.3, ""rank"": 10, ""rank_points"": 3350}, {""id"":126845, ""name"": ""Max Purcell"", ""hand"":""R"", ""height"":185, ""ioc"": ""AUS"", ""age"": 23.7, ""rank"": 176, ""rank_points"": 386}]","{""score"": ""6-1 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 63, ""winner_id"": 206173, ""loser_id"": 126845}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,272,"[{""id"": 200282, ""name"": ""Alex De Minaur"", ""hand"": ""R"",""height"":183,""ioc"":""AUS"",""age"":22.8, ""rank"": 34, ""rank_points"": 1561}, {""id"":200005, ""name"": ""Ugo Humbert"", ""hand"":""L"", ""height"":188, ""ioc"": ""FRA"", ""age"": 23.5, ""rank"": 35, ""rank_points"": 1558}]","{""score"": ""3-6 7-6(2) 6-1"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 137, ""winner_id"": 200282, ""loser_id"": 200005}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,271,"[{""id"": 126239, ""name"": ""Arthur Rinderknech"", ""hand"": ""R"",""height"":196,""ioc"":""FRA"",""age"":26.4, ""rank"": 58, ""rank_points"": 1029}, {""id"":105902, ""name"": ""James Duckworth"", ""hand"":""R"", ""height"":183, ""ioc"": ""AUS"", ""age"": 29.9, ""rank"": 49, ""rank_points"": 1176}]","{""score"": ""6-4 7-6(6)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 113, ""winner_id"": 126239, ""loser_id"": 105902}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,270,"[{""id"": 200000, ""name"": ""Felix Auger Aliassime"", ""hand"": ""R"",""height"":193,""ioc"":""CAN"",""age"":21.4, ""rank"": 11, ""rank_points"": 3308}, {""id"":100644, ""name"": ""Alexander Zverev"", ""hand"":""R"", ""height"":198, ""ioc"": ""GER"", ""age"": 24.7, ""rank"": 3, ""rank_points"": 7840}]","{""score"": ""6-4 4-6 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 151, ""winner_id"": 200000, ""loser_id"": 100644}"
